MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|31|8.5|2|DC|21.94
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|31|8.5|2|DC|21.94
