MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|5|8.5|1|KXIP|19.6
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|21|8.5|1|KXIP|21.25
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|4|8.5|1|KXIP|43.62
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|10|8.5|1|MI|30.71
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|5|8.5|1|KXIP|19.6
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|21|8.5|1|KXIP|21.25
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|4|8.5|1|KXIP|43.62
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|10|8.5|1|MI|30.71
