MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|16|8.5|2|RCB|25.33
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|-2|8.5|2|RCB|11.88
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|16|8.5|2|RCB|25.33
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|-2|8.5|2|RCB|11.88
